site,round,trt,rep,sub,year picked up,month picked up,day picked up,date,doy,sample,AgoLeo,BalObt,BalSpp,OscPse,PseCol,AphFim,CalGra,ChiDis,ColErr,MelPro,OtoHae,BorPra,CanPil,OntHec,OntOrp,OntNuc,abund,richness,dwell_abund,dwell_rich,roll_abund,roll_rich,tunn_abund,tunn_rich,native_abund,native_rich,alien_abund,alien_rich
bison3_1,1,bison,3,1,2022,6,23,6/23/2022,174,SW,0,0,0,0,6,0,0,0,3,0,0,2,57,0,0,7,75,5,9,2,59,2,7,1,65,3,10,2
bison3_1,2,bison,3,1,2022,7,15,7/15/2022,196,NE,0,0,0,0,6,0,0,0,14,0,0,0,81,0,0,17,118,4,20,2,81,1,17,1,87,2,31,2
bison3_1,2,bison,3,1,2022,7,15,7/15/2022,196,NW,0,0,0,0,2,0,0,0,4,0,0,0,99,0,0,15,120,4,6,2,99,1,15,1,101,2,19,2
bison3_1,2,bison,3,1,2022,7,15,7/15/2022,196,SW,0,0,0,0,4,0,0,0,14,0,0,0,73,0,0,14,105,4,18,2,73,1,14,1,77,2,28,2
bison3_1,3,bison,3,1,2022,8,17,8/17/2022,229,NE,0,0,0,0,0,0,0,0,0,0,0,2,180,0,0,17,199,3,0,0,182,2,17,1,182,2,17,1
bison3_1,3,bison,3,1,2022,8,17,8/17/2022,229,NW,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,6,175,2,0,0,169,1,6,1,169,1,6,1
bison3_1,3,bison,3,1,2022,8,17,8/17/2022,229,SE,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,33,333,2,0,0,300,1,33,1,300,1,33,1
bison3_1,3,bison,3,1,2022,8,17,8/17/2022,229,SW,0,0,0,0,0,0,0,0,0,0,0,1,294,0,0,16,311,3,0,0,295,2,16,1,295,2,16,1
bison3_2,1,bison,3,2,2022,6,23,6/23/2022,174,NE,0,0,0,0,35,0,0,1,4,0,0,7,41,0,0,17,105,6,40,3,48,2,17,1,83,3,22,3
bison3_2,1,bison,3,2,2022,6,23,6/23/2022,174,NW,0,0,0,0,32,0,0,0,20,0,0,3,69,0,0,35,159,5,52,2,72,2,35,1,104,3,55,2
bison3_2,1,bison,3,2,2022,6,23,6/23/2022,174,SE,0,0,0,0,6,0,0,0,0,0,0,1,53,0,1,9,70,5,6,1,54,2,10,2,61,4,9,1
bison3_2,1,bison,3,2,2022,6,23,6/23/2022,174,SW,0,0,0,0,0,0,0,0,6,0,0,5,59,0,0,11,81,4,6,1,64,2,11,1,64,2,17,2
bison3_2,2,bison,3,2,2022,7,15,7/15/2022,196,NW,0,0,0,0,21,0,0,0,9,0,0,1,80,0,0,8,119,5,30,2,81,2,8,1,102,3,17,2
bison3_2,2,bison,3,2,2022,7,15,7/15/2022,196,SE,0,0,0,0,6,0,0,0,5,0,0,2,101,0,0,11,125,5,11,2,103,2,11,1,109,3,16,2
bison3_2,2,bison,3,2,2022,7,15,7/15/2022,196,SW,0,0,0,0,9,0,0,0,11,0,0,0,60,0,0,8,88,4,20,2,60,1,8,1,69,2,19,2
bison3_2,3,bison,3,2,2022,8,17,8/17/2022,229,NE,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,4,80,2,0,0,76,1,4,1,76,1,4,1
bison3_2,3,bison,3,2,2022,8,17,8/17/2022,229,NW,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,6,54,3,0,0,48,2,6,1,48,2,6,1
bison3_2,3,bison,3,2,2022,8,17,8/17/2022,229,SE,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,5,80,2,0,0,75,1,5,1,75,1,5,1
bison3_2,3,bison,3,2,2022,8,17,8/17/2022,229,SW,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,3,75,3,0,0,72,2,3,1,72,2,3,1
cattle1_1,1,cattle,1,1,2022,6,15,6/15/2022,166,NE,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,3,12,3,9,2,0,0,3,1,1,1,11,2
cattle1_1,1,cattle,1,1,2022,6,15,6/15/2022,166,NW,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,2,2,1,0,0,1,1,0,0,3,2
cattle1_1,1,cattle,1,1,2022,6,15,6/15/2022,166,SE,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,6,3,5,2,0,0,1,1,2,1,4,2
cattle1_1,1,cattle,1,1,2022,6,15,6/15/2022,166,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cattle1_1,2,cattle,1,1,2022,7,14,7/14/2022,195,NE,0,0,0,0,2,0,0,0,16,0,0,2,143,2,0,8,173,6,18,2,145,2,10,2,149,4,24,2
cattle1_1,2,cattle,1,1,2022,7,14,7/14/2022,195,NW,0,0,0,0,3,0,0,0,8,0,0,0,163,2,0,7,183,5,11,2,163,1,9,2,168,3,15,2
cattle1_1,2,cattle,1,1,2022,7,14,7/14/2022,195,SE,0,0,0,0,5,0,0,0,16,0,0,0,153,3,0,5,182,5,21,2,153,1,8,2,161,3,21,2
cattle1_1,2,cattle,1,1,2022,7,14,7/14/2022,195,SW,0,0,0,0,0,0,13,0,0,0,0,0,131,1,0,4,149,4,13,1,131,1,5,2,132,2,17,2
cattle1_1,3,cattle,1,1,2022,8,18,8/18/2022,230,NE,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,1,122,2,0,0,121,1,1,1,121,1,1,1
cattle1_1,3,cattle,1,1,2022,8,18,8/18/2022,230,NW,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1,201,2,0,0,200,1,1,1,200,1,1,1
cattle1_1,3,cattle,1,1,2022,8,18,8/18/2022,230,SE,0,0,0,0,0,0,0,0,0,0,0,0,172,2,0,3,177,3,0,0,172,1,5,2,174,2,3,1
cattle1_1,3,cattle,1,1,2022,8,18,8/18/2022,230,SW,0,0,0,0,0,0,0,0,0,0,0,0,223,1,0,3,227,3,0,0,223,1,4,2,224,2,3,1
cattle1_2,1,cattle,1,2,2022,6,15,6/15/2022,166,NE,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,2,16,3,13,1,1,1,2,1,14,2,2,1
cattle1_2,1,cattle,1,2,2022,6,15,6/15/2022,166,NW,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,2,15,3,10,1,3,1,2,1,13,2,2,1
cattle1_2,1,cattle,1,2,2022,6,15,6/15/2022,166,SE,0,0,0,1,8,0,0,0,0,0,0,0,8,0,0,7,24,4,9,2,8,1,7,1,17,3,7,1
cattle1_2,1,cattle,1,2,2022,6,15,6/15/2022,166,SW,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,0,10,3,4,1,5,1,1,1,10,3,0,0
cattle1_2,2,cattle,1,2,2022,7,14,7/14/2022,195,NE,0,0,0,0,13,0,0,0,2,0,0,1,248,11,0,17,292,6,15,2,249,2,28,2,273,4,19,2
cattle1_2,2,cattle,1,2,2022,7,14,7/14/2022,195,NW,0,0,0,0,5,0,0,0,0,0,0,0,276,5,0,7,293,4,5,1,276,1,12,2,286,3,7,1
cattle1_2,2,cattle,1,2,2022,7,14,7/14/2022,195,SE,0,0,0,0,36,0,0,0,2,0,0,4,419,17,0,7,485,6,38,2,423,2,24,2,476,4,9,2
cattle1_2,3,cattle,1,2,2022,8,18,8/18/2022,230,NE,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,10,285,2,0,0,275,1,10,1,275,1,10,1
cattle1_2,3,cattle,1,2,2022,8,18,8/18/2022,230,NW,0,0,0,0,0,0,0,0,0,0,0,0,262,1,0,5,268,3,0,0,262,1,6,2,263,2,5,1
cattle1_2,3,cattle,1,2,2022,8,18,8/18/2022,230,SE,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,2,106,2,0,0,104,1,2,1,104,1,2,1
cattle1_2,3,cattle,1,2,2022,8,18,8/18/2022,230,SW,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,1,172,2,0,0,171,1,1,1,171,1,1,1
cattle2_1,1,cattle,2,1,2022,6,15,6/15/2022,166,NE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,0,0,2,1,1,1,2,1
cattle2_1,1,cattle,2,1,2022,6,15,6/15/2022,166,NW,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2
cattle2_1,1,cattle,2,1,2022,6,15,6/15/2022,166,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cattle2_1,1,cattle,2,1,2022,6,15,6/15/2022,166,SW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cattle2_1,2,cattle,2,1,2022,7,20,7/20/2022,201,NE,0,1,0,0,0,0,0,0,20,0,0,0,22,0,0,77,120,4,21,2,22,1,77,1,23,2,97,2
cattle2_1,2,cattle,2,1,2022,7,20,7/20/2022,201,NW,0,0,0,0,2,0,0,0,11,0,0,0,26,0,0,92,131,4,13,2,26,1,92,1,28,2,103,2
cattle2_1,2,cattle,2,1,2022,7,20,7/20/2022,201,SE,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,51,67,3,6,1,10,1,51,1,10,1,57,2
cattle2_1,2,cattle,2,1,2022,7,20,7/20/2022,201,SW,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,70,101,3,12,1,19,1,70,1,19,1,82,2
cattle2_1,3,cattle,2,1,2022,8,12,8/12/2022,224,NE,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,8,48,2,0,0,40,1,8,1,40,1,8,1
cattle2_1,3,cattle,2,1,2022,8,12,8/12/2022,224,NW,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,18,69,3,1,1,50,1,18,1,50,1,19,2
cattle2_1,3,cattle,2,1,2022,8,12,8/12/2022,224,SE,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17,30,2,0,0,13,1,17,1,13,1,17,1
cattle2_1,3,cattle,2,1,2022,8,12,8/12/2022,224,SW,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,13,44,2,0,0,31,1,13,1,31,1,13,1
cattle2_2,1,cattle,2,2,2022,6,15,6/15/2022,166,NE,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,2,3,1,0,0,1,1,3,1,1,1
cattle2_2,1,cattle,2,2,2022,6,15,6/15/2022,166,NW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
cattle2_2,1,cattle,2,2,2022,6,15,6/15/2022,166,SE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,0,0,2,1,1,1,2,1
cattle2_2,1,cattle,2,2,2022,6,15,6/15/2022,166,SW,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,1,1,0,0,2,2,0,0
cattle2_2,2,cattle,2,2,2022,7,20,7/20/2022,201,NE,0,0,0,0,0,0,0,0,23,0,0,0,17,0,0,22,62,3,23,1,17,1,22,1,17,1,45,2
cattle2_2,2,cattle,2,2,2022,7,20,7/20/2022,201,NW,0,0,0,0,4,0,0,0,50,0,0,1,23,0,0,61,139,5,54,2,24,2,61,1,28,3,111,2
cattle2_2,2,cattle,2,2,2022,7,20,7/20/2022,201,SE,0,0,0,0,1,0,0,0,19,0,0,0,12,0,0,36,68,4,20,2,12,1,36,1,13,2,55,2
cattle2_2,2,cattle,2,2,2022,7,20,7/20/2022,201,SW,0,0,0,0,3,0,0,0,19,0,0,0,14,0,0,34,70,4,22,2,14,1,34,1,17,2,53,2
cattle2_2,3,cattle,2,2,2022,8,12,8/12/2022,224,NE,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,11,39,2,0,0,28,1,11,1,28,1,11,1
cattle2_2,3,cattle,2,2,2022,8,12,8/12/2022,224,NW,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,7,35,3,1,1,27,1,7,1,27,1,8,2
cattle2_2,3,cattle,2,2,2022,8,12,8/12/2022,224,SE,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,15,34,3,0,0,19,2,15,1,19,2,15,1
cattle2_2,3,cattle,2,2,2022,8,12,8/12/2022,224,SW,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,27,2,0,0,13,1,14,1,13,1,14,1
cattle3_1,1,cattle,3,1,2022,6,25,6/25/2022,176,NE,0,0,0,1,6,0,0,0,56,0,0,0,57,0,0,10,130,5,63,3,57,1,10,1,64,3,66,2
cattle3_1,1,cattle,3,1,2022,6,25,6/25/2022,176,NW,0,0,0,1,6,0,0,0,33,0,0,1,56,0,0,29,126,6,40,3,57,2,29,1,64,4,62,2
cattle3_1,1,cattle,3,1,2022,6,25,6/25/2022,176,SE,0,0,0,0,14,0,0,0,63,0,0,2,88,0,0,24,191,5,77,2,90,2,24,1,104,3,87,2
cattle3_1,1,cattle,3,1,2022,6,25,6/25/2022,176,SW,0,0,0,0,13,0,0,0,102,0,0,6,56,0,0,21,198,5,115,2,62,2,21,1,75,3,123,2
cattle3_1,2,cattle,3,1,2022,7,21,7/21/2022,202,NE,0,0,0,0,0,0,0,0,21,0,0,1,53,0,0,6,81,4,21,1,54,2,6,1,54,2,27,2
cattle3_1,2,cattle,3,1,2022,7,21,7/21/2022,202,NW,0,0,0,0,0,0,0,0,26,0,1,0,62,0,0,16,105,4,27,2,62,1,16,1,62,1,43,3
cattle3_1,2,cattle,3,1,2022,7,21,7/21/2022,202,SE,0,0,0,0,3,1,0,0,31,0,0,1,68,0,0,14,118,6,35,3,69,2,14,1,72,3,46,3
cattle3_1,2,cattle,3,1,2022,7,21,7/21/2022,202,SW,0,0,0,1,1,1,0,0,47,0,0,1,61,0,0,13,125,7,50,4,62,2,13,1,64,4,61,3
cattle3_1,3,cattle,3,1,2022,8,17,8/17/2022,229,NE,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,2,49,2,0,0,47,1,2,1,47,1,2,1
cattle3_1,3,cattle,3,1,2022,8,17,8/17/2022,229,NW,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,2,58,2,0,0,56,1,2,1,56,1,2,1
cattle3_1,3,cattle,3,1,2022,8,17,8/17/2022,229,SE,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,2,63,3,0,0,61,2,2,1,61,2,2,1
cattle3_1,3,cattle,3,1,2022,8,17,8/17/2022,229,SW,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,5,78,2,0,0,73,1,5,1,73,1,5,1
cattle3_2,1,cattle,3,2,2022,6,25,6/25/2022,176,NE,0,0,0,0,32,0,0,0,40,0,0,1,71,0,0,25,169,5,72,2,72,2,25,1,104,3,65,2
cattle3_2,1,cattle,3,2,2022,6,25,6/25/2022,176,NW,0,0,0,0,47,0,0,0,74,0,0,4,78,0,0,46,249,5,121,2,82,2,46,1,129,3,120,2
cattle3_2,1,cattle,3,2,2022,6,25,6/25/2022,176,SE,0,0,0,0,25,0,0,0,61,0,0,5,72,0,0,46,209,5,86,2,77,2,46,1,102,3,107,2
cattle3_2,1,cattle,3,2,2022,6,25,6/25/2022,176,SW,0,0,0,0,54,0,0,0,100,0,0,9,69,0,0,54,286,5,154,2,78,2,54,1,132,3,154,2
cattle3_2,2,cattle,3,2,2022,7,21,7/21/2022,202,NE,0,0,0,0,2,1,0,0,45,0,0,1,157,0,0,83,289,6,48,3,158,2,83,1,160,3,129,3
cattle3_2,2,cattle,3,2,2022,7,21,7/21/2022,202,NW,0,0,0,0,5,1,0,0,94,0,0,0,101,0,0,100,301,5,100,3,101,1,100,1,106,2,195,3
cattle3_2,2,cattle,3,2,2022,7,21,7/21/2022,202,SE,0,0,0,0,5,1,0,0,57,0,0,1,110,0,0,81,255,6,63,3,111,2,81,1,116,3,139,3
cattle3_2,2,cattle,3,2,2022,7,21,7/21/2022,202,SW,0,0,0,0,6,1,0,0,111,0,0,0,89,0,0,92,299,5,118,3,89,1,92,1,95,2,204,3
cattle3_2,3,cattle,3,2,2022,8,17,8/17/2022,229,NE,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,6,140,2,0,0,134,1,6,1,134,1,6,1
cattle3_2,3,cattle,3,2,2022,8,17,8/17/2022,229,NW,0,0,0,0,0,0,0,0,0,0,0,1,127,0,0,12,140,3,0,0,128,2,12,1,128,2,12,1
cattle3_2,3,cattle,3,2,2022,8,17,8/17/2022,229,SE,0,0,0,0,0,0,0,0,0,0,0,2,113,0,0,15,130,3,0,0,115,2,15,1,115,2,15,1
cattle3_2,3,cattle,3,2,2022,8,17,8/17/2022,229,SW,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,6,78,2,0,0,72,1,6,1,72,1,6,1
bison1_1,1,bison,1,1,2022,6,10,6/10/2022,161,SW,0,0,0,0,51,0,0,2,8,0,0,3,14,0,0,14,92,6,61,3,17,2,14,1,68,3,24,3
bison3_2,2,bison,3,2,2022,7,15,7/15/2022,196,NE,0,0,0,0,19,0,0,0,12,0,0,0,105,0,0,20,156,4,31,2,105,1,20,1,124,2,32,2
cattle1_2,2,cattle,1,2,2022,7,14,7/14/2022,195,SW,0,0,0,4,0,0,0,0,0,0,0,0,294,16,0,4,318,4,4,1,294,1,20,2,314,3,4,1
bison3_1,2,bison,3,1,2022,7,15,7/15/2022,196,SE,0,0,0,0,5,0,0,0,5,0,0,0,90,0,0,7,107,4,10,2,90,1,7,1,95,2,12,2
bison3_1,1,bison,3,1,2022,6,23,6/23/2022,174,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
